NO,category,Movie Name,File Size,Video Size,Video Length,Video Rate,Subtitle,File Name,filesize,disk
159,欧美系列,侏罗纪公园【1.2.3】, 6.53 GiB,1280 * 692, 1h 32mn,8174 Kbps,外挂中英,侏罗纪公园3.Jurassic.Park.3.2001.BluRay.720p.DTS.2Audio.x264-CHD.mkv,0,欧美系列1_2T
160,欧美系列,再造战士【1.2.3.4】, 3.80 GiB,1280 * 536, 1h 43mn,5248 Kbps,外挂中英,Universal Soldier 1992 3Li BluRay 720p.mkv,0,欧美系列1_2T
161,欧美系列,再造战士【1.2.3.4】, 3.40 GiB,1280 * 688, 1h 22mn,5869 Kbps,外挂中英,Universal Soldier The Return 1999 3Li BluRay 720p.mkv,0,欧美系列1_2T
162,欧美系列,再造战士【1.2.3.4】, 5.46 GiB,1280 * 544, 1h 53mn,6883 Kbps,外挂中英,Universal.Soldier.4.2012.LIMITED.720p.BluRay.X264-AMIABLE.mkv,0,欧美系列1_2T
163,欧美系列,再造战士【1.2.3.4】, 4.36 GiB,1280 * 544, 1h 36mn,6431 Kbps,外挂中英,Universal.Soldier.Regeneration.2009.Bluray.720p.DTS.x264-CHD.mkv,0,欧美系列1_2T
164,欧美系列,分歧者【1.2】, 6.00 GiB,1280 * 534, 2h 19mn,6153 Kbps,外挂中英,Divergent.2014.BluRay.720p.DTS.x264-CHD.mkv,0,欧美系列1_2T
165,欧美系列,分歧者【1.2】, 4.36 GiB,1280 * 536, 1h 59mn,5250 Kbps,外挂中英,Insurgent.2015.720p.BluRay.x264-SPARKS.mkv,0,欧美系列1_2T
166,欧美系列,反斗神鹰【1.2】, 6.01 GiB,1280 * 694, 1h 24mn,8628 Kbps,外挂中英,反斗神鹰.Hot.Shots.1991.BluRay.720p.DTS.x264-CHD.mkv,0,欧美系列1_2T
167,欧美系列,反斗神鹰【1.2】, 6.01 GiB,1280 * 694, 1h 28mn,9710 Kbps,外挂中英|外挂中文,反斗神鹰2.Hot.Shots.Part.Deux.1993.BluRay.720p.DTS.x264-CHD.mkv,0,欧美系列1_2T
168,欧美系列,古墓丽影【1.2】, 7.00 GiB,1280 * 536, 1h 40mn,9966 Kbps,外挂中英,古墓丽影.Lara.Croft.Tomb.Raider.2001.720p.BluRay.x264.DTS-WiKi.mkv,0,欧美系列1_2T
169,欧美系列,古墓丽影【1.2】, 6.56 GiB,1280 * 546, 1h 57mn,8000 Kbps,外挂中英,古墓丽影2.Lara.Croft.Tomb.Raider.2.The.Cradle.Of.Life.2003.720p.BluRay.x264.DTS-WiKi.mkv,0,欧美系列1_2T
170,欧美系列,哥斯拉【1.2.3】, 6.44 GiB,1280 * 544, 2h 18mn,6648 Kbps,外挂中英,Godzilla.1998.Blu-ray.Re.720p.x264.DTS.DD51.MultiAudio-MySiLU.mkv,0,欧美系列1_2T
171,欧美系列,哥斯拉【1.2.3】, 5.46 GiB,1280 * 536, 2h 3mn,6351 Kbps,外挂中英,Godzilla.2014.720p.BluRay.x264-SPARKS.mkv,0,欧美系列1_2T
172,欧美系列,哥斯拉【1.2.3】, 5.50 GiB,1280 * 534, 2h 3mn,6400 Kbps,外挂中英,Godzilla.2014.BluRay.720p.x264.DTS-CHD.mkv,0,欧美系列1_2T
173,欧美系列,地牢围攻【1.2】, 4.30 GiB,1280 * 720, 2h 6mn,4843 Kbps,外挂中英,In.the.Name.of.the.King.A.Dungeon.Siege.Tale.Blu-ray.RE.720.X264.DD51.Silu.mkv,0,欧美系列1_2T
174,欧美系列,地牢围攻【1.2】, 5.00 GiB,1280 * 720, 1h 36mn,7455 Kbps,外挂中英,In.the.Name.of.the.King.2.Two.Worlds.2011.BluRay.720p.DTS.x264-CHD.mkv,0,欧美系列1_2T
175,欧美系列,大侦探福尔摩斯【1.2】, 6.53 GiB,1280 * 720, 2h 8mn,7282 Kbps,外挂中英,Sherlock.Holmes.2009.BluRay.720p.DTS.x264-CHD.mkv,0,欧美系列1_2T
