NO,category,Movie Name,File Size,Video Size,Video Length,Video Rate,Subtitle,File Name,filesize,disk
485,中国系列,新扎师妹【1.2.3.4】, 1.36 GiB,716 * 480, 1h 38mn,1992 Kbps,无字幕或内嵌字幕,3.mkv,0,中国系列1_2T
486,中国系列,新扎师妹【1.2.3.4】, 2.20 GiB,1280 * 720, 1h 37mn,3218 Kbps,无字幕或内嵌字幕,新扎师妹4美丽密令.Beauty.On.Duty.2010.BluRay.720p.x264.AC3-CMCT.mkv,0,中国系列1_2T
487,中国系列,方世玉【1.2】, 4.87 GiB,1280 * 720, 1h 35mn,7295 Kbps,未知字幕,[方世玉].The.Legend.1993.Bluray.720p.AC3.2Audio.x264-CHD.mkv,0,中国系列1_2T
488,中国系列,方世玉【1.2】, 2.40 GiB,1024 * 560, 1h 36mn,3555 Kbps,外挂中文,方世玉續集.Fong.Sai.Yuk.II.1993.R3.HK.DVDRip.X264.2AC3-Jackie.mkv,0,中国系列1_2T
489,中国系列,无间道【1.2.3】, 6.56 GiB,1280 * 524, 1h 59mn,7863 Kbps,无字幕或内嵌字幕,【无间道2】Infernal.Affairs.II.2003.BluRay.720P.x264.DTS-WiKi.mkv,0,中国系列1_2T
490,中国系列,无间道【1.2.3】, 6.56 GiB,1280 * 524, 1h 57mn,7971 Kbps,无字幕或内嵌字幕,【无间道3】Infernal.Affairs.III.2003.BluRay.720P.x264.DTS-WiKi.mkv,0,中国系列1_2T
491,中国系列,无间道【1.2.3】, 6.56 GiB,1280 * 544, 1h 40mn,9336 Kbps,无字幕或内嵌字幕,【无间道】Infernal.Affairs.2002.BluRay.720P.x264.DTS-WiKi.mkv,0,中国系列1_2T
492,中国系列,暗战【1.2】, 4.38 GiB,1280 * 720, 1h 32mn,6745 Kbps,外挂中英,Running.Out.Of.Time.1999.REPACK.720p.BluRay.x264-WiKi.mkv,0,中国系列1_2T
493,中国系列,暗战【1.2】, 4.36 GiB,1280 * 720, 1h 35mn,6538 Kbps,外挂中英,Running.Out.Of.Time.2.2001.BluRay.720p.AC3.2Audio.x264-CHD.mkv,0,中国系列1_2T
494,中国系列,最佳拍档【1.2.3.4.5】, 2.80 GiB,1280 * 720, 1h 33mn,4281 Kbps,无字幕或内嵌字幕,[最佳拍档1：光头神探(国粤双语)].Aces.Go.Places.1982.HK.BluRay.720p.x264.AC3.2Audios-CMCT.mkv,0,中国系列1_2T
495,中国系列,最佳拍档【1.2.3.4.5】, 3.00 GiB,1280 * 720, 1h 41mn,4218 Kbps,无字幕或内嵌字幕,[最佳拍档2：大显神通(国粤双语)].Aces.Go.Places.II.1983.HK.BluRay.720p.x264.AC3.2Audios-CMCT.mkv,0,中国系列1_2T
496,中国系列,最佳拍档【1.2.3.4.5】, 3.00 GiB,1280 * 720, 1h 35mn,4488 Kbps,无字幕或内嵌字幕,[最佳拍档3：女皇密令(国粤双语)].Aces.Go.Places.III.1984.HK.BluRay.720p.x264.AC3.2Audios-CMCT.mkv,0,中国系列1_2T
497,中国系列,最佳拍档【1.2.3.4.5】, 2.80 GiB,1280 * 720, 1h 28mn,4512 Kbps,无字幕或内嵌字幕,[最佳拍档4：千里救差婆(国粤双语)].Aces.Go.Places.IV.1986.HK.BluRay.720p.x264.AC3.2Audios-CMCT.mkv,0,中国系列1_2T
498,中国系列,最佳拍档【1.2.3.4.5】, 3.00 GiB,1280 * 720, 1h 42mn,4192 Kbps,无字幕或内嵌字幕,[最佳拍档5：兵马俑风云(国粤双语)].Aces.Go.Places.V.1989.HK.BluRay.720p.x264.AC3.2Audios-CMCT.mkv,0,中国系列1_2T
499,中国系列,最佳损友【1.2】, 3.20 GiB,1280 * 720, 1h 39mn,4629 Kbps,无字幕或内嵌字幕,[最佳损友].The.Crazy.Companies.1988.BluRay.720p.x264.FLAC.2Audios-CMCT.mkv,0,中国系列1_2T
