No,分类,中文文件名,文件大小,画面尺寸,视频时长,视频码率,字幕,文件名称,文件字节数,磁盘
68,本机临时,帕克, 6.30 GiB,1280 * 534, 1h 58mn,7598 Kbps,外挂中英,Parker.2013.720p.BluRay.DTS.x264-HDWinG.mkv,0,本机
69,本机临时,暂告安全, 5.51 GiB,1280 * 544, 1h 34mn,8329 Kbps,外挂中文|未知字幕|外挂中英,Safe.2012.BluRay.720p.DTS.x264-CHD.mkv,0,本机
70,本机临时,机械师, 5.51 GiB,1280 * 534, 1h 32mn,8502 Kbps,外挂中文,机械师.The.Mechanic.2011.BluRay.720p.mkv,0,本机
71,本机临时,游侠, 4.40 GiB,1280 * 534, 1h 43mn,6114 Kbps,外挂中英,War.2007.720p.BluRay.x264-WiKi.mkv,0,本机
72,本机临时,火星幽灵, 4.37 GiB,1280 * 536, 1h 38mn,6379 Kbps,外挂中文,Ghosts.of.Mars.2001.720p.BluRay.x264-BestHD [PublicHD].mkv,0,本机
73,本机临时,玩命追踪, 4.37 GiB,1280 * 544, 1h 37mn,6450 Kbps,外挂中英,Blitz.2011.BluRay.720p.AC3.x264-CHD.mkv,0,本机
74,本机临时,百万杀人游戏13, 4.38 GiB,1280 * 536, 1h 37mn,6444 Kbps,外挂中文,13.2010.720p.bluray.x264-brmp.mkv,0,本机
75,本机临时,蜂鸟, 5.00 GiB,1280 * 720, 1h 40mn,7148 Kbps,外挂中英,Redemption.2013.BluRay.720p.DTS.x264-CHD.mkv,0,本机
76,本机临时,转轮手枪, 4.36 GiB,1280 * 544, 1h 51mn,5600 Kbps,外挂中文|未知字幕,转轮手枪.Revolver.2005.Bluray.720p.AC3.x264-CHD.mkv,0,本机
77,本机临时,铁血精英, 5.51 GiB,1280 * 532, 1h 56mn,6754 Kbps,外挂中英,Killer.Elite.2011.BluRay.720p.DTS.x264-CHD.mkv,0,本机
78,本机临时,银行抢劫案, 4.37 GiB,1280 * 544, 1h 52mn,5583 Kbps,外挂中英,The.Bank.Job.2008.x264.720p.DTS.BDRiP-CHD.mkv,0,本机
79,本机临时,唱歌神探, 3.06 GiB,1280 * 720, 1h 49mn,4015 Kbps,无字幕或内嵌字幕,The.Singing.Detective.2003.720p.WEB-DL.DD5.1.H.264.mkv,0,本机
80,本机临时,弯刀杀戮, 5.50 GiB,1280 * 694, 1h 47mn,7327 Kbps,外挂中英,Machete.Kills.2013.BluRay.720p.DTS.x264-CHD.mkv,0,本机
81,本机临时,海狸, 4.37 GiB,1280 * 532, 1h 30mn,6874 Kbps,外挂中英,The.Beaver.2011.BluRay.720p.DTS.x264-CHD.mkv,0,本机
82,本机临时,连锁阴谋, 5.47 GiB,1280 * 536, 2h 15mn,5783 Kbps,外挂中文,Conspiracy.Theory.1997.720p.BluRay.X264-AMIABLE.mkv,0,本机
83,本机临时,义海雄风, 4.38 GiB,1280 * 544, 2h 18mn,4541 Kbps,外挂中英,Few.Good.Men.1992.720p.BluRay.x264-SEPTiC.mkv,0,本机
84,本机临时,危情谍战, 6.50 GiB,1280 * 532, 1h 57mn,7944 Kbps,外挂中英,危情谍战.Knight.And.Day.Extended.Cut.2010.BluRay.720p.DTS.x264-CHD.mkv,0,本机
