No,中文文件名,文件大小,画面尺寸,视频时长,视频码率,文件路径,文件Root,文件名称
77,蝶变, 1.61 GiB,1040 * 420, 1h 24mn,2707 Kbps,蝶变.Butterfly.Murders.1979.DVDRip.x264.AC3.2Audios-CMCT,,[蝶变].Butterfly.Murders.1979.DVDRip.x264.AC3.2Audios-CMCT.mkv
78,血衣天使, 1.34 GiB,720 * 368, 1h 32mn,2073 Kbps,血衣天使,,血衣天使.mkv
79,西洋镜, 701 MiB,712 * 456, 57mn 19s,1710 Kbps,西洋镜.Shadow.Magic.2000.DVDRip.X264.AC3.iNT-ZY,,[ihaowa.com][西洋镜].Shadow.Magic.2000.DVDRip.X264.AC3.iNT-ZY-cd1.mkv
80,西洋镜, 696 MiB,712 * 456, 58mn 31s,1662 Kbps,西洋镜.Shadow.Magic.2000.DVDRip.X264.AC3.iNT-ZY,,[ihaowa.com][西洋镜].Shadow.Magic.2000.DVDRip.X264.AC3.iNT-ZY-cd2.mkv
81,赌霸, 702 MiB,720 * 464, 45mn 1s,2180 Kbps,赌霸.The.top.bet.1991.DVDRip.X264.AC3.2CD,,[赌霸].The.top.bet.1991.DVDRip.X264.AC3.CD1-tdw9430.mkv
82,赌霸, 700 MiB,720 * 464, 45mn 15s,2164 Kbps,赌霸.The.top.bet.1991.DVDRip.X264.AC3.2CD,,[赌霸].The.top.bet.1991.DVDRip.X264.AC3.CD2-tdw9430.mkv
83,赤胆情, 1.47 GiB,852 * 480, 1h 31mn,2314 Kbps,赤胆情.No.Compromise.1988.NFYL,,南方娱乐（bbs.nfyl.net).赤胆情.No.Compromise.1988.NFYL.mkv
84,边缘岁月, 1.35 GiB,852 * 480, 1h 27mn,2199 Kbps,边缘岁月.The.Killer‘s.Blues.1990.DVD.NFYL,,南方娱乐（bbs.nfyl.net).边缘岁月.The.Killer‘s.Blues.1990.DVD.NFYL.mkv
85,运财至叻星, 1.37 GiB,816 * 448, 1h 35mn,2056 Kbps,运财至叻星.Fortune.Most.Talented.Star.1996.DVDRiP.X264.AC3.iNT-KaKa,,[运财至叻星].Fortune.Most.Talented.Star.1996.DVDRiP.X264.AC3.iNT-KaKa.mkv
86,重案实录O记, 2.10 GiB,1024 * 548, 1h 27mn,3423 Kbps,重案实录O记.Organized.Crime.And.Triad.Bureau.1994.DVDRip.X264.2AAC-Jackie,,Organized.Crime.And.Triad.Bureau.1994.DVDRip.X264.2AAC-Jackie.mkv
87,金牌师姐, 1.37 GiB,1920 * 1080, 1h 24mn,2329 Kbps,金牌师姐.Jin.pai.shi.jie.1990.HK.DVDRip.X264.2AC3-NFYL,,南方娱乐 (bbs.nfyl.net).金牌师姐.Jin.pai.shi.jie.1990.HK.DVDRip.X264.2AC3-NFYL .mkv
88,金钱帝国, 2.05 GiB,880 * 368, 1h 52mn,2609 Kbps,金钱帝国.I.Corrupt.All.Cops.2009.DVDRiP.x264.DTS-NFYL,,南方娱乐(bbs.nfyl.net).金钱帝国.I.Corrupt.All.Cops.2009.DVDRiP.x264.DTS-NFYL.mkv
89,铁三角, 1.46 GiB,712 * 364, 1h 32mn,2244 Kbps,铁三角.triangle.2007.dvdrip.x264.ac3.6ch-[gx],,triangle.2007.dvdrip.x264.ac3.6ch-[gx].mkv
90,铁汉柔情, 1.36 GiB,720 * 304, 1h 34mn,2056 Kbps,铁汉柔情.The.Young.Dragons.1974.DVDRip.XviD.AC3.SUBBED-RARBG,,The.Young.Dragons.1974.DVDRip.XviD.AC3.SUBBED-RARBG.avi
91,阴尸路, 1.44 GiB,720 * 416, 1h 27mn,2344 Kbps,阴尸路.Ghost.Meets.You.1993.DVDrip.x264.AC3.2Audios-CMCT,,[阴尸路(国粤双语)].Ghost.Meets.You.1993.DVDrip.x264.AC3.2Audios-CMCT.mkv
92,霍元甲, 1.37 GiB,700 * 576, 1h 28mn,2202 Kbps,霍元甲.Legend.of.a.Fighter.1982.HK.DVDRip.x264.2Audio.AC3,,霍元甲.Legend.of.a.Fighter.1982.HK.DVDRip.x264.2Audio.AC3..mkv
93,非常突然, 1.42 GiB,720 * 304, 1h 30mn,2252 Kbps,非常突然.Expect.The.Unexpected.1998.DVDRIP.XVID.AC3-MAJESTiC,,(CHINESE).Expect.The.Unexpected.1998.DVDRIP.XVID.AC3-MAJESTiC.avi
94,鬼马天师, 1.36 GiB,720 * 304, 1h 30mn,2164 Kbps,鬼马天师.Drunken.Wutang.1984.DVDRip.XviD.AC3.SUBBED-RARBG,,Drunken.Wutang.1984.DVDRip.XviD.AC3.SUBBED-RARBG.avi
95,鹰爪铁布衫, 3.93 GiB,1280 * 516, 1h 41mn,5571 Kbps,鹰爪铁布衫.1977,,鹰爪铁布衫 (1)_2.mkv
96,黄飞鸿之四：王者之风, 1.46 GiB,720 * 304, 1h 37mn,2145 Kbps,黄飞鸿之四：王者之风.once.upon.a.time.in.china.IV.1993.dvdrip.xvid.ac3.2ch-[gx],,once.upon.a.time.in.china.IV.1993.dvdrip.xvid.ac3.2ch-[gx].avi
97,龙在江湖, 1.42 GiB,704 * 464, 1h 26mn,2344 Kbps,龙在江湖.Legacy.Of.Rage.1986.DVDRip.X264-NFYL,,南方娱乐（bbs.nfyl.net).在江湖].Legacy.Of.Rage.1986.DVDRip.X264-NFYL.mkv
