No,中文文件名,文件大小,画面尺寸,视频时长,视频码率,文件路径,文件Root,文件名称
73,见龙卸甲, 4.37 GiB,1280 * 544, 1h 41mn,6145 Kbps,见龙卸甲.Three Kingdoms Resurrection Of The Dragon (2008) blu-ray x264 720P DTS-CHD,,Three.Kingdoms.Resurrection.Of.The.Dragon.2008.blu-ray.x264.720P.DTS-CHD.mkv
74,解救吾先生, 4.37 GiB,1280 * 536, 1h 46mn,5898 Kbps,解救吾先生.Saving.Mr.Wu.2015.720p.BluRay.x264-WiKi,,Saving.Mr.Wu.2015.720p.BluRay.x264-WiKi.mkv
75,赌侠1999, 2.54 GiB,1280 * 720, 1h 52mn,3229 Kbps,赌侠1999.The.Conman.1999.BluRay.720p.x264.AC3-WOFEI,,赌侠1999.The.Conman.1999.BluRay.720p.x264.AC3-WOFEI.mkv
76,赌侠大战拉斯维加斯, 4.36 GiB,1280 * 538, 1h 37mn,6414 Kbps,赌侠大战拉斯维加斯.The.Conmen.in.Vegas.1999.BluRay.720p.AC3.2Audio.x264-CHD,,The.Conmen.in.Vegas.1999.BluRay.720p.AC3.2Audio.x264-CHD.mkv
77,门徒, 5.50 GiB,1280 * 544, 1h 48mn,7229 Kbps,门徒.Protege.2007.bluray.720p.AC3.2audio.X264-CHD,,Protege.2007.bluray.720p.AC3.2audio.X264-CHD.mkv
78,阿虎, 1.50 GiB,1280 * 720, 1h 45mn,2045 Kbps,阿虎.A.Fighter's.Blues.2000.HDTV.720p.x264.AAC-iSCG,,[阿虎]A.Fighter's.Blues.2000.HDTV.720p.x264.AAC-iSCG[国语中字1.5G].mp4
79,霍元甲, 2.69 GiB,1280 * 720, 2h 20mn,2736 Kbps,霍元甲.Fearless.2006.Directors.Cut.720p.BluRay.x264.AC3-CNXP,,霍元甲.Fearless.2006.Directors.Cut.720p.BluRay.x264.AC3-CNXP.mkv
80,风暴, 4.37 GiB,1280 * 536, 1h 49mn,5724 Kbps,风暴.Firestorm.2013.720p.BluRay.x264-WiKi,,Firestorm.2013.720p.BluRay.x264-WiKi.mkv
81,黑金, 3.30 GiB,1280 * 720, 2h 4mn,3779 Kbps,黑金.Island.of.Greed.1997.720p.BluRay.x264-CnSCG,,黑金Island.of.Greed.1997.720p.BluRay.x264-CnSCG.mkv
82,黑马王子, 3.20 GiB,1280 * 720, 1h 39mn,4610 Kbps,黑马王子.Prince.Charming.1999.BluRay.720p.x264.2Audio.AC3-CnSCG,,[黑马王子(国粤)]Prince.Charming.1999.BluRay.720p.x264.2Audio.AC3-CnSCG[中字3.2G].mkv
83,龙凤斗, 2.07 GiB,1280 * 720, 1h 34mn,3130 Kbps,龙凤斗.Yesterday Once More 2004 HDTV 720p x264,,龙凤斗.Yesterday Once More 2004 HDTV 720p x264.mkv
84,龙在江湖, 3.60 GiB,1280 * 720, 1h 53mn,4559 Kbps,龙在江湖.A.True.Mob.Story.1998.BluRay.720p.x264.AC3.2Audios-CMCT,,[龙在江湖].A.True.Mob.Story.1998.BluRay.720p.x264.AC3.2Audios-CMCT.mkv
85,龙在边缘, 698 MiB,640 * 352, 52mn 21s,1864 Kbps,龙在边缘.Long.Zai.Bian.Yuan.1999.2Audio.DVDRip.XviD.AC3.iNT-ZY,,[龙在边缘].Long.Zai.Bian.Yuan.1999.2Audio.DVDRip.XviD.AC3.iNT-ZY-CD1.avi
86,龙在边缘, 698 MiB,640 * 352, 55mn 24s,1761 Kbps,龙在边缘.Long.Zai.Bian.Yuan.1999.2Audio.DVDRip.XviD.AC3.iNT-ZY,,[龙在边缘].Long.Zai.Bian.Yuan.1999.2Audio.DVDRip.XviD.AC3.iNT-ZY-CD2.avi
87,龙神太子, 1.37 GiB,1920 * 1072, 1h 22mn,2397 Kbps,龙神太子.Gameboy.Kids.1992.SUBBED.1080P.X264.AAC.9shig,,龙神太子(机BOY小子之真假威龙).Gameboy.Kids.1992.SUBBED.1080P.X264.AAC.9shig.mkv
88,龙门飞甲, 2.72 GiB,1280 * 720, 2h 2mn,3186 Kbps,龙门飞甲.2011.BluRay.720p.x264.AC3-CNXP,,龙门飞甲.2011.BluRay.720p.x264.AC3-CNXP.mkv
89,一本漫画闯天涯, 1.36 GiB,800 * 432, 1h 32mn,2105 Kbps,一本漫画闯天涯.My.Hero.1990.DVDRip.X264.AC3-tdw9430,,[1990][一本漫画闯天涯].My.Hero.1990.DVDRip.X264.AC3-tdw9430.mkv
90,九品芝麻官, 3.40 GiB,1280 * 720, 1h 46mn,4558 Kbps,九品芝麻官.Hail.the.Judge.1994.BluRay.720p.x264.2Audio.AC3-CnSCG,,[九品芝麻官]Hail.the.Judge.1994.BluRay.720p.x264.2Audio.AC3-CnSCG.mkv
91,刑警本色, 1.36 GiB,640 * 480, 1h 56mn,1676 Kbps,刑警本色.The.Last.Conflict.1988.HK.DVDRip.x264.2Audio.MP2.iNT-CDC,,[1988][刑警本色].The.Last.Conflict.1988.HK.DVDRip.x264.2Audio.MP2.iNT-CDC.mkv
92,千王之王2000, 1.37 GiB,854 * 480, 1h 30mn,2155 Kbps,千王之王2000.The.Tricky.Master.2000.1999.DVDrip.x264.AC3.2Audios-CMCT,,[千王之王2000(国粤双语)].The.Tricky.Master.2000.1999.DVDrip.x264.AC3.2Audios-CMCT.mkv
93,唐伯虎点秋香, 3.20 GiB,1280 * 720, 1h 42mn,4481 Kbps,唐伯虎点秋香.Flirting.Scholar.1993.BluRay.720p.x264.2Audio.AC3-CnSCG,,[唐伯虎点秋香]Flirting.Scholar.1993.BluRay.720p.x264.2Audio.AC3-CnSCG.mkv
94,喜剧之王, 2.40 GiB,1280 * 720, 1h 24mn,4067 Kbps,喜剧之王.King.of.Comedy.1999.HDTV.720p.x264.2Audio.AC3-CnSCG,,King.of.Comedy.1999.HDTV.720p.x264.2Audio.AC3-CnSCG.mkv
95,回魂夜, 5.47 GiB,1280 * 684, 1h 22mn,9436 Kbps,回魂夜.Out.of.The.Dark.1995.720p.BluRay.x264-WiKi,,Out.of.The.Dark.1995.720p.BluRay.x264-WiKi.mkv
96,国产凌凌漆, 1.72 GiB,1280 * 720, 1h 23mn,2938 Kbps,国产凌凌漆.From.Beijing.with.Love.1994.720p.BluRay.x264,,国产凌凌漆.From.Beijing.with.Love.1994.720p.BluRay.x264.mkv
97,大内密探零零发, 2.25 GiB,1280 * 720, 1h 28mn,3633 Kbps,大内密探零零发.Forbidden.City.Cop.1996.BluRay.720p.AC3.2Audio.x264,,大内密探零零发.Forbidden.City.Cop.1996.BluRay.720p.AC3.2Audio.x264.mkv
98,审死官, 3.83 GiB,1906 * 1034, 1h 35mn,5757 Kbps,审死官.Justice,My.Foot!1992.1080p.WEB-DL.AAC.H.264-AngelaBaby,,Justice,My.Foot!1992.1080p.WEB-DL.AAC.H.264-AngelaBaby.mkv
99,家有喜事1992, 4.04 GiB,1920 * 1080, 1h 40mn,5754 Kbps,家有喜事1992.Alls.Well Ends.Well.1992.1080p.WEB-DL.AAC.H.264-Gunsnroses,,Alls.Well Ends.Well.1992.1080p.WEB-DL.AAC.H.264-Gunsnroses.mkv
100,少林足球, 6.56 GiB,1280 * 720, 1h 52mn,8357 Kbps,少林足球.Shaolin.Soccer.2001.BluRay.720p.x264.DTS-WiKi,,Shaolin.Soccer.2001.BluRay.720p.x264.DTS-WiKi.mkv
101,师兄撞鬼, 2.10 GiB,908 * 480, 1h 27mn,3441 Kbps,师兄撞鬼.Look.Out.Officer.1990.HK.DVDRip.X264.2AC3-Jackie,,[1990][师兄撞鬼].Look.Out.Officer.1990.HK.DVDRip.X264.2AC3-Jackie.mkv
