No,中文文件名,文件大小,画面尺寸,视频时长,视频码率,文件路径,文件Root,文件名称
218,邪咒, 1.37 GiB,800 * 400, 1h 19mn,2460 Kbps,DVD(O-Z),,邪咒.Curse Of Evil.1982.mkv
219,醉郎洲, 1.36 GiB,704 * 368, 1h 27mn,2225 Kbps,DVD(O-Z),,醉郎洲.Farewell.to.a.Warrior.1976.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv
220,醉马骝, 1.36 GiB,640 * 352, 1h 37mn,2009 Kbps,DVD(O-Z),,醉马骝.Drunken.Monkey.2003.R3.LB.SB.DVDRip.x264.2Audio.AC3.iNT-NowYS.mkv
221,野姑娘, 698 MiB,704 * 368, 1h 27mn,1117 Kbps,DVD(O-Z),,野姑娘.Sweet.and.Wild.1966.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv
222,钟馗娘子, 1.60 GiB,864 * 480, 1h 37mn,2357 Kbps,DVD(O-Z),,钟馗娘子.The.Lady.Hermit.1971.DVDRip.x264.AC3-CMCT.mkv
223,钻石艳盗, 1.36 GiB,716 * 352, 1h 47mn,1819 Kbps,DVD(O-Z),,钻石艳盗.The.Venus.Tear.Diamond.1971.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv
224,铁头皇帝, 1.37 GiB,716 * 368, 1h 35mn,2058 Kbps,DVD(O-Z),,铁头皇帝.The.King.With.My.Face.1967.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv
225,铁扇公主, 1.37 GiB,716 * 368, 1h 33mn,2098 Kbps,DVD(O-Z),,铁扇公主.Princess.Iron.Fan.1966.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv
226,铁手无情, 1.36 GiB,716 * 368, 1h 34mn,2064 Kbps,DVD(O-Z),,铁手无情.The.Invincible.Fist.1969.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv
227,铁观音, 1.36 GiB,716 * 368, 1h 52mn,1729 Kbps,DVD(O-Z),,铁观音.Angel.with.the.Iron.Fists.1967.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv
