NO,cagegory,Movie Name,File Size,Video Size,Video Length,Video Rate,Subtitle,File Name,filesize,disk
94,电影频道录制版,红樱桃, 3.06 GiB,1280 * 720, 1h 51mn,3924 Kbps,无字幕或内嵌字幕,红樱桃.1995.HDTVRip.720P.x264.ac3.mkv,0,中国电影2
95,电影频道录制版,红河谷, 4.35 GiB,1280 * 692, 1h 44mn,5988 Kbps,无字幕或内嵌字幕,红河谷.CCTV6.Grief.Over.The.Yellow.1999.720p.HDTV.x264-NGB.mkv,0,中国电影2
96,电影频道录制版,绝境逢生, 4.81 GiB,1920 * 1080, 1h 40mn,6888 Kbps,无字幕或内嵌字幕,绝境逢生.(潘长江魏宗万) 1994.ts,0,中国电影2
97,电影频道录制版,美丽的大脚, 4.37 GiB,1280 * 720, 1h 37mn,6388 Kbps,无字幕或内嵌字幕,美丽的大脚.CCTV6.Pretty.Big.Feet.2002.720p.HDTV.x264-NGB.mkv,0,中国电影2
98,电影频道录制版,翠岗红旗, 1.84 GiB,1160 * 720, 1h 36mn,2747 Kbps,无字幕或内嵌字幕,翠岗红旗.CCTV6 HDTV 720P.mkv,0,中国电影2
99,电影频道录制版,翻身, 4.36 GiB,1280 * 688, 1h 30mn,6868 Kbps,无字幕或内嵌字幕,翻身.CCTV6.Turn.Over.2002.720p.HDTV.x264-NGB.mkv,0,中国电影2
100,电影频道录制版,老井, 1.56 GiB,1280 * 720, 2h 3mn,1809 Kbps,无字幕或内嵌字幕,老井.1986 西影 CCTV6高清 720P.mkv,0,中国电影2
101,电影频道录制版,背靠背脸对脸, 6.34 GiB,1280 * 720, 2h 20mn,6449 Kbps,无字幕或内嵌字幕,背靠背脸对脸.1994.CCTV6.HDTV.720p.x264-CHDTV.mkv,0,中国电影2
102,电影频道录制版,草莽英雄, 2.86 GiB,1250 * 720, 1h 39mn,4123 Kbps,无字幕或内嵌字幕,草莽英雄.1986.CCTV6.mkv,0,中国电影2
103,电影频道录制版,董存瑞, 2.98 GiB,1280 * 720, 1h 38mn,4332 Kbps,无字幕或内嵌字幕,董存瑞.1955.CCTV6.mkv,0,中国电影2
104,电影频道录制版,蓝盾保险箱, 3.27 GiB,1694 * 1068, 1h 27mn,5341 Kbps,无字幕或内嵌字幕,蓝盾保险箱.1983 南京 CCTV6高清 1080P.mkv,0,中国电影2
105,电影频道录制版,被告山杠爷, 3.92 GiB,1920 * 1054, 1h 43mn,5441 Kbps,无字幕或内嵌字幕,被告山杠爷.1994.CCTV6.HDTV.1080P.峨眉.mkv,0,中国电影2
106,电影频道录制版,警察有约, 4.41 GiB,1280 * 720, 1h 37mn,6450 Kbps,无字幕或内嵌字幕,警察有约.CCTV6.The.Law.Of.Romance.2003.HDTV.720p.x264-CHDTV.mkv,0,中国电影2
107,电影频道录制版,过年, 4.37 GiB,1280 * 720, 1h 40mn,6213 Kbps,无字幕或内嵌字幕,过年.The Spring Festival.1991.HDTVRip.720p.x264.AC3.jyt.mkv,0,中国电影2
108,电影频道录制版,过江龙, 2.96 GiB,1280 * 720, 1h 26mn,4880 Kbps,无字幕或内嵌字幕,过江龙.【1970】CCTV6.mp4,0,中国电影2
109,电影频道录制版,金元大劫案, 2.19 GiB,1280 * 710, 1h 34mn,3313 Kbps,无字幕或内嵌字幕,金元大劫案.1990 上影 CCTV6高清版.mkv,0,中国电影2
110,电影频道录制版,锦上添花, 2.74 GiB,1920 * 1080, 1h 9mn,5621 Kbps,无字幕或内嵌字幕,锦上添花.mkv,0,中国电影2
111,电影频道录制版,阿夏河的秘密, 3.15 GiB,720 * 480, 1h 23mn,5383 Kbps,无字幕或内嵌字幕,阿夏河的秘密.(上影1976).mkv,0,中国电影2
112,电影频道录制版,阿诗玛, 4.37 GiB,1280 * 720, 1h 25mn,7309 Kbps,无字幕或内嵌字幕,阿诗玛.1964 CCTV6HD.mkv,0,中国电影2
